brand,primary_color,estimatedmarketvalue,gender,name,retailprice,silhouette
Nike,Rust Pink,140.0,men,Nike Jordan Air Ship PE SP Rust Pink,140.0,Air Ship
Nike,Sail,89.0,women,Nike Dunk Low LX Year of the Dragon (2024) (Women's),135.0,Dunk
Nike,Sail,115.0,women,Wmns Dunk Low 'Give Her Flowers',115.0,Dunk
Nike,Sail,160.0,women,Wmns Air Max 90 Futura 'Give Her Flowers',160.0,Air Max 90
Nike,Neutral Grey,140.0,women,Wmns Air Max 1 '87 'Malachite',140.0,Air Max 1
Nike,White,140.0,men,Air Max 1 'Chili Volt',140.0,Air Max 1
Nike,Barely Rose,54.0,women,Nike Calm Slide Barely Rose (Women's),50.0,Calm Slide
Nike,Court Purple,95.0,women,Nike Air Force 1 Low Be True To Her School LSU (Women's),125.0,Nike Air Force 1 Low
Nike,Coconut Milk,119.0,men,Blazer Mid '77 'Waffle',110.0,Blazer
Nike,Dark Smoke Grey,150.0,men,Nike Lunar Roam Dark Smoke Grey Black,150.0,Nike Lunar Roam
Nike,Ashen Slate,150.0,men,Nike Book 1 Ashen Slate,150.0,Book 1
Nike,Light Orewood Brown,404.0,men,Nike Book 1 Light Orewood Brown,150.0,Book 1
Nike,White,1947.0,men,Nike LeBron 4 Fruity Pebbles (2024),250.0,Zoom LeBron 4
Nike,Sail,2000.0,men,Nike Jordan Air Ship PE SP Awake NY,150.0,Air Ship
Nike,Phantom,125.0,women,Wmns Dunk Low LX 'Ale Brown Ostrich',135.0,Dunk
Nike,Wheat,258.0,men,Dunk Low 'Waffle',125.0,Dunk
Nike,Phantom,125.0,women,Nike Dunk Low LX Gorge Green Ostrich (Women's),135.0,Dunk
Nike,Stadium Green,700.0,men,KD 16 'All-Star',160.0,KD 16
Nike,Black,175.0,men,Ja 1 'All-Star',140.0,Ja 1
Nike,Phantom,990.0,men,Air Max Plus Drift 'Phantom Cacao Wow',185.0,Air Max Plus Drift
Nike,Metallic Silver,345.0,men,Nike KD 4 Galaxy (2024),130.0,KD 4
Nike,Sail,97.0,women,Nike Cortez SE Valentine's Day (2024) (Women's),100.0,Cortez
Nike,Coconut Milk,230.0,men,Nike SB Dunk Low City Of Love Light Bone,125.0,Dunk SB
Nike,Burgundy Crush,282.0,men,Nike SB Dunk Low City Of Love Burgundy Crush,125.0,Dunk SB
Nike,Sail,114.0,women,Nike Air Force 1 Low '07 SE PRM Valentine's Day (2024) (Women's),130.0,Air Force 1
Nike,University Red,139.0,men,Nike Air Force 1 Low Layers of Love,125.0,Air Force 1
Nike,White,225.0,men,Air Max Penny 1 'Penny Story',180.0,Air Max 1
Nike,Pure Platinum,150.0,men,Nike Lunar Roam Platinum Tint Desert Moss,150.0,Lunar Roam
Nike,Metallic Gold,400.0,men,Vapor Edge Elite 360 2 'Super Bowl LVIII',220.0,Vapor Edge Elite 360 2
Nike,Jade Ice,187.0,men,LeBron 21 'Aragonite',200.0,LeBron 21
Nike,White,315.0,men,Nike Kobe 8 Protro Radiant Emerald,190.0,Kobe 8 System
Nike,White,353.0,men,Nike Kobe 8 Protro Court Purple,190.0,Kobe 8 System
Nike,Khaki,314.0,men,Nike KD 4 Year of the Dragon 2.0,150.0,KD 4
Nike,Jade Ice,160.0,women,Nike Sabrina 1 Brooklyn's Finest (Women's),130.0,Sabrina 1
Nike,Black,140.0,women,Wmns Flyknit Bloom 'Black Velvet Brown',140.0,Flyknit Bloom
Nike,Bronzine,180.0,men,Air Max Flyknit Venture 'Bronzine Smokey Mauve',180.0,Air Max Flyknit Venture
Nike,Pear,150.0,women,Wmns Flyknit Bloom 'Bronzine',150.0,Flyknit Bloom
Nike,Olive Aura,145.0,women,Wmns Air Force 1 Wild 'Olive Aura Aquarius Blue',145.0,Air Force 1
Nike,Sail,122.0,women,Wmns Air Max 90 LV8 SE 'Valentine's Day',160.0,Air Max 90
Nike,Summit White,117.0,women,Nike Air Footscape Woven Rainbow (Women's),160.0,Nike Air Footscape Woven
Nike,Coconut Milk,113.0,men,Dunk Low 'Sanddrift Armory Blue',135.0,Dunk
Nike,Sail,104.0,men,Nike Air Force 1 Low '07 Year of the Dragon (2024),135.0,Air Force 1
Nike,Fire Red,91.0,kid,Nike Air Force 1 Low Valentine's Day Fleece (2024) (GS),100.0,Air Force 1
Nike,Platinum Tint,107.0,men,Nike Air Max 1 Platinum Tint Dark Obsidian,140.0,Air Max 1
Nike,Black,164.0,men,Air Pegasus 2005 'Black Fire Red',150.0,Air Pegasus 2005
Nike,Black,109.0,men,Dunk Low 'Vintage Michigan',125.0,Dunk
Nike,White,64.0,women,Wmns Court Vision Low 'Valentine's Day 2024',80.0,Court Vision
Nike,White,101.0,women,Nike Air Force 1 Low '07 XLD Valentine's Day 2024 (Women's),110.0,Air Force 1
Nike,Summit White,90.0,kid,Dunk Low GS 'Dance',95.0,Dunk
Nike,Black,140.0,men,Metcon 9 TB 'Black Signal Blue',140.0,Metcon 9
Nike,Lemonade,47.0,kid,Mercurial Vapor 15 Club IC GS 'Mad Ready Pack',47.0,Mercurial Vapor
Nike,Black,72.0,kid,Phantom Luna 2 Academy AG GS 'Shadow Pack',72.0,Phantom Luna
Nike,Court Purple,129.0,men,Nike SB Dunk Low Court Purple (2021/2024),115.0,Dunk SB
Nike,Summit White,79.0,kid,Nike Zoom GT Cut 3 White Picante Red (GS),95.0,Air Zoom GT Cut 3
Nike,Black,170.0,men,Phantom Luna 2 Pro FG 'Shadow Pack',170.0,Phantom Luna
